061320|DPS-722a9736af|DEPOSIT|50.0|2025-07-12 00:08:48
061320|DPS-7ea8b0f631|DEPOSIT|50.0|2025-07-12 00:13:04
061320|DPS-7618e3aa07|DEPOSIT|50.0|2025-07-12 00:17:48
789101|DPS-65f91f35a8|DEPOSIT|200.0|2025-07-12 00:18:52
061320|DPS-70fedd89ba|DEPOSIT|5.0|2025-07-12 00:27:40
061320|DPS-1d5619d079|DEPOSIT|10.0|2025-07-12 00:29:42
061320|DPS-4f2ade0584|DEPOSIT|15.0|2025-07-12 00:31:21
061320|DPS-fab8738806|DEPOSIT|5.0|2025-07-12 00:33:52
032724|DPS-757cd039df|DEPOSIT|100.0|2025-07-12 00:34:37
032724|DPS-c546ff642c|DEPOSIT|141.0|2025-07-12 00:36:45
123456|DPS-6634b9c75a|DEPOSIT|150.0|2025-07-12 00:40:01
789101|DPS-29ddf4bc5e|DEPOSIT|199.0|2025-07-12 00:41:10
123456|DPS-502de512ec|DEPOSIT|901.0|2025-07-12 00:42:43
061320|DPS-7a723d8e94|DEPOSIT|15.0|2025-07-12 00:47:56
061320|DPS-deede62f0e|DEPOSIT|4.0|2025-07-12 00:49:52
